ID,experimentClass,trialNumber,completionDateTime,startDateTime,startDateNb,startSecsNb,nbPumps,isCollected,isExploded,lastTrialTime,order,trialOrder
S1_1004,BodyDeflate,17,17735.65087517361,17735.65080601852,17735,56229.64,20,1,0,1.486,1,17
S1_1004,BodyDeflate,18,17735.650952708333,17735.650912222223,17735,56238.816,10,1,0,1.561,1,18
S1_1004,BodyDeflate,19,17735.651017824075,17735.65097133102,17735,56243.923,16,1,0,1.367,1,19
S1_1004,BodyDeflate,20,17735.65107484954,17735.65103789352,17735,56249.674,10,1,0,0.921,1,20
S1_1004,BalloonInflate,1,17735.651253136573,17735.65124556713,17735,56267.617,5,0,1,NA,2,21
S1_1004,BalloonInflate,2,17735.651304247684,17735.65128314815,17735,56270.864,2,1,0,1.673,2,22
S1_1004,BalloonInflate,3,17735.651384212964,17735.651352002315,17735,56276.813,10,1,0,1.172,2,23
S1_1004,BalloonInflate,4,17735.65145627315,17735.651401284722,17735,56281.071,20,1,0,1.182,2,24
S1_1004,BalloonInflate,5,17735.65154800926,17735.651470810186,17735,56287.078,20,1,0,1.7,2,25
S1_1004,BalloonInflate,6,17735.65161005787,17735.651562592593,17735,56295.008,12,1,0,1.021,2,26
S1_1004,BalloonInflate,7,17735.65167988426,17735.651622719906,17735,56300.203,21,1,0,1.189,2,27
S1_1004,BalloonInflate,8,17735.651746805557,17735.651690983796,17735,56306.101,20,1,0,1.501,2,28
S1_1004,BalloonInflate,9,17735.65180337963,17735.65176121528,17735,56312.169,10,1,0,1.398,2,29
S1_1004,BalloonInflate,10,17735.651906898147,17735.65181488426,17735,56316.806,30,1,0,1.079,2,30
S1_1004,BalloonInflate,11,17735.652082164353,17735.651979756945,17735,56331.051,44,1,0,1.607,2,31
S1_1004,BalloonInflate,12,17735.65216923611,17735.65210511574,17735,56341.882,25,1,0,1.481,2,32
S1_1004,BalloonInflate,13,17735.652249305556,17735.652190324075,17735,56349.244,29,0,1,NA,2,33
S1_1004,BalloonInflate,14,17735.65237482639,17735.652288159723,17735,56357.697,35,1,0,1.673,2,34
S1_1004,BalloonInflate,15,17735.652475671297,17735.652396886573,17735,56367.091,30,1,0,0.927,2,35
S1_1004,BalloonInflate,16,17735.65256949074,17735.652490208333,17735,56375.154,39,0,1,NA,2,36
S1_1004,BalloonInflate,17,17735.652683032407,17735.652598877314,17735,56384.543,30,1,0,1.646,2,37
S1_1004,BalloonInflate,18,17735.652759618057,17735.652719525464,17735,56394.967,10,1,0,1.375,2,38
S1_1004,BalloonInflate,19,17735.65279355324,17735.652773368056,17735,56399.619,12,0,1,NA,2,39
