ID,order,TotalMLE,mle,pBurst_1,pBurst_2,pExpl_1,pExpl_2,threshold,sdAvgLastTime_1,sdAvgLastTime_2,avgLastTime_1,avgLastTime_2,avgPumps_1,avgPumps_2,sdPumps_1,sdPumps_2,nbCollected_1,nbCollected_2,gammaPlus,beta
S5_73,3,273.824,71.1168,0.045455,0.029787,0,0.063492,2,0.2786,0.154586,0.906,0.906714,21,21.833333,1.414214,12.166734,2,14,1,0.17
S5_73,4,273.824,64.4058,0.031142,0.020747,0.142857,0.073529,10,0.394413,0.26183,1.003667,0.9458,27.3,16.8,10.154911,18.140195,9,5,1,0.17
S5_74,1,250.0442,61.8435,0.092486,0.037736,0.5,0.076923,17,0.590977,0.115258,1.312062,0.8715,9.117647,12.666667,3.672233,11.150486,16,2,1,0.17
S5_74,2,250.0442,59.5428,0.060086,0.095238,0.2,0,18,0.083491,0.068589,0.715286,0.7535,11.055556,9.5,6.530221,4.949747,14,2,1,0.17
S5_74,3,250.0442,66.9942,0.054902,0.037975,0.064516,0.052632,16,0.181624,0.097377,0.800286,0.767667,13.125,14.25,5.795113,10.531698,14,3,1,0.17
S5_74,4,250.0442,61.6637,0.071429,0.040373,0,0.090909,2,0.067175,0.099035,0.8445,0.709538,13,14.111111,1.414214,9.43017,2,13,1,0.17
S5_75,1,257.1383,52.0371,0.014963,0.040984,0.041667,0.090909,14,0.38499,0.214532,1.364333,0.953,14.5,17.666667,18.641352,8.801515,6,5,1,0.17
S5_75,2,257.1383,66.5681,0.016667,0.033097,0.027027,0.065574,2,NA,0.203384,0.769,0.8535,11,19.333333,15.556349,11.881771,1,14,1,0.17
S5_75,3,257.1383,71.0133,0.024518,0.013889,0.054795,0.032258,18,0.242772,NA,0.906786,0.76,26.888889,20,17.070404,28.284271,14,1,1,0.17
S5_75,4,257.1383,67.5198,0.01912,0.029412,0.037594,0.2,15,0.094693,0.179229,0.7555,0.9435,25.333333,25.4,18.847761,16.516658,10,4,1,0.17
S5_76,1,213.2604,49.1049,0.042553,0.007928,0,0.026128,2,1.003385,1.280928,4.8815,1.753429,22.5,25.277778,10.606602,37.102094,2,7,1,0.17
S5_76,2,213.2604,54.0937,0.009288,0.017937,0.028571,0,16,1.758662,1.111473,2.2475,1.47925,18.125,54.75,24.595054,11.470978,6,4,1,0.17
S5_76,3,213.2604,52.6921,0.008403,0.022936,0.033333,0,15,0.76985,0.260382,1.4068,0.951,19.333333,42.6,29.439203,12.218838,5,5,1,0.17
S5_76,4,213.2604,57.3697,0.011804,0.02139,0.025641,0.052632,14,0.561304,1.046249,0.995571,1.6235,22.357143,32.8,26.592674,19.30544,7,4,1,0.17
S5_77,1,236.4429,55.6929,0.02439,0.013889,0,0.035573,4,0.182584,0.43412,0.92575,0.899429,40,15.25,8.164966,18.211718,4,7,1,0.17
S5_77,2,236.4429,64.4685,0.01964,0.011905,0.061856,0.023256,18,0.280008,NA,0.85175,0.614,27.888889,20,21.461015,28.284271,12,1,1,0.17
S5_77,3,236.4429,55.4328,0.015789,0.019685,0.053763,0.074074,11,0.125109,0.186851,0.744167,0.7844,25.545455,21.666667,25.105233,21.213203,6,5,1,0.17
S5_77,4,236.4429,60.8487,0.013699,0.022727,0.033493,0.166667,14,0.182011,0.123219,0.794,0.8234,21.071429,34.833333,22.801701,17.893202,7,5,1,0.17
S5_78,1,249.9756,62.9816,0.023077,0.007463,0.045455,0.032258,16,0.35258,NA,0.981417,0.654,26.25,10,18.574176,20,12,1,1,0.17
S5_78,2,249.9756,69.3032,0.030534,0.014778,0.142857,0.033333,15,0.720981,0.101208,0.918167,0.788,24,28,15.023791,27.748874,12,3,1,0.17
S5_78,3,249.9756,58.0626,0.015217,0.034014,0.039216,0.047619,13,1.12522,0.139909,1.152143,0.713,23.076923,14.285714,23.58835,9.759001,7,5,1,0.17
S5_78,4,249.9756,59.6282,0.029674,0.02069,0.089552,0.047619,16,0.162427,0.69844,0.7361,1.365,16.25,30.25,14.083087,21.608255,10,3,1,0.17
S5_79,1,246.8135,65.5826,0.00625,0.018898,0.018349,0.045045,3,NA,0.286258,0.915,1.00825,16.666667,30.117647,28.867513,20.426338,1,12,1,0.17
S5_79,2,246.8135,54.5873,0.012862,0.023411,0.053097,0.073171,10,0.147845,0.310872,0.859,1.009286,19.4,25.1,25.180239,19.479049,4,7,1,0.17
S5_79,3,246.8135,60.9869,0.010482,0.023333,0.028902,0.053571,10,0.128256,0.230485,0.737,0.916286,29.9,23.7,33.204585,17.397637,5,7,1,0.17
S5_79,4,246.8135,65.6567,0.012739,0.018242,0.035294,0.063492,5,0.033234,0.117565,0.9085,0.815727,14,35.266667,19.493589,23.156198,2,11,1,0.17
S5_8,1,261.1986,55.86,0.015267,0.042471,0.033898,0.075472,4,0.188798,0.407772,1.6075,1.434909,17.5,13,20.615528,8.409179,2,11,1,0.17
S5_8,2,261.1986,73.289,0.02439,0.046961,0,0.08,1,NA,0.289587,1.368,1.430882,40,16.842105,NA,6.282809,1,17,1,0.17
S5_8,3,261.1986,67.8017,0.026316,0.048309,0.090909,0.117647,8,0.236452,0.338304,1.436667,1.5045,25,15,17.728105,7.385489,6,10,1,0.17
S5_8,4,261.1986,64.2479,0.048544,0.038462,0.333333,0.2,18,0.157439,NA,1.355667,1.465,15.833333,10,7.52447,14.142136,15,1,1,0.17
S5_80,1,269.4897,60.6674,0.066667,0.021113,0,0.08642,2,0.361332,0.214833,1.1845,0.957727,14,23.833333,8.485281,24.631997,2,11,1,0.17
S5_80,2,269.4897,67.2264,0.028747,0.0625,0.074627,0,19,0.146582,NA,0.785929,0.629,21.368421,15,15.478338,NA,14,1,1,0.17
S5_80,3,269.4897,68.4615,0.017544,0.028866,0.055556,0.057692,3,NA,0.07853,1.068,0.703929,6.666667,24.647059,11.547005,13.252081,1,14,1,0.17
S5_80,4,269.4897,73.1344,0.014851,0.03202,0.027027,0.095238,5,0.080525,0.110897,0.829667,0.696385,25,24.8,23.065125,11.663129,3,13,1,0.17
S5_81,1,254.5709,57.5807,0.06383,0.021645,0.1,0.088889,11,0.949099,0.477875,1.608222,1.3316,10.181818,20.111111,6.6756,20.065172,9,5,1,0.17
S5_81,2,254.5709,71.4653,0.026,0.01005,0.070175,0.018182,17,0.785005,0.455377,1.461769,1.495,25.294118,47.333333,16.657448,41.295682,13,2,1,0.17
S5_81,3,254.5709,64.0076,0.022917,0.008197,0.037037,0.033898,12,0.305606,0.02687,1.142273,1.058,36.833333,8.125,14.552934,15.569544,11,2,1,0.17
S5_81,4,254.5709,61.5173,0.01105,0.017241,0.022989,0.033333,4,0.35426,0.182092,1.2115,0.9877,23,24.375,26.608269,20.655508,2,10,1,0.17
S5_82,1,273.3369,67.9892,0.016949,0.029915,0.026316,0.111111,2,NA,0.124665,1.032,0.672714,10,23.222222,14.142136,13.964474,1,14,1,0.17
S5_82,2,273.3369,67.3804,0.020325,0.026144,0.05102,0.5,15,0.145241,0.090886,0.6801,0.7465,25.6,29.4,18.848266,17.24239,10,4,1,0.17
S5_82,3,273.3369,73.2536,0.021875,0.007463,0.047619,0.037037,16,0.09651,NA,0.6845,0.859,36.5,13,15.777621,26,14,1,1,0.17
S5_82,4,273.3369,64.7137,0.02045,0.013393,0.076923,0.041667,13,0.179818,0.061044,0.6852,0.828333,33.846154,17.857143,19.641988,22.281746,10,3,1,0.17
S5_83,1,233.3373,63.7459,0.25,0.045307,0,0.166667,3,1.807965,0.174444,2.460667,0.909,3,17.6875,1,10.084435,3,14,1,0.17
S5_83,2,233.3373,55.9052,0.084507,0.133333,0,0.333333,6,0.191366,0.111402,0.7865,0.607,10.833333,5.769231,1.722401,2.976403,6,12,1,0.17
S5_83,3,233.3373,60.1664,0.042553,0.120567,0,0.166667,2,0.226274,0.101254,0.723,0.576471,22.5,6.555556,0.707107,2.228749,2,17,1,0.17
S5_83,4,233.3373,53.5198,0.076923,0.133858,0,0,1,NA,0.109792,0.557,0.582059,12,6.470588,NA,0.874475,1,17,1,0.17
S5_84,1,260.6559,72.4598,0.090909,0.045576,0,0.181818,1,NA,0.504025,1.548,1.281118,10,18.157895,NA,7.304969,1,17,1,0.17
S5_84,2,260.6559,64.9652,0.010714,0.021322,0.03,0.048193,6,0.068418,0.287711,0.835,0.9224,29.5,26.857143,33.031803,18.571513,3,10,1,0.17
S5_84,3,260.6559,69.0347,0.017804,0.032787,0.041096,0,18,0.277792,0.379716,0.99075,1.0735,28.666667,29.5,21.46132,27.577164,12,2,1,0.17
S5_84,4,260.6559,54.1962,0.009901,0.020877,0.03125,0.056911,3,NA,0.173444,1.436,0.8415,12,20.352941,20.78461,18.894249,1,10,1,0.17
S5_85,1,268.8479,62.2467,0.027397,0.016181,0.054545,0.040816,11,0.642689,0.131161,1.25,1.0156,20.818182,22.888889,22.859651,26.741561,8,5,1,0.17
S5_85,2,268.8479,67.3524,0.024254,0.005714,0.064103,0.011905,18,0.354669,NA,1.152615,1.236,24.722222,45,18.348924,63.63961,13,1,1,0.17
S5_85,3,268.8479,77.6698,0.038462,0.025145,0.083333,0.033333,5,2.117141,1.155947,3.428,1.337462,17.6,29.6,12.75931,13.542526,4,13,1,0.17
S5_85,4,268.8479,61.579,0.006098,0.017378,0.023077,0.03125,4,NA,0.212346,0.987,0.903273,8.25,28.875,16.5,27.15112,1,11,1,0.17
S5_86,1,247.8779,66.337,0.053097,0.022901,0.142857,0.047619,7,1.236091,0.174456,1.893,0.898222,14.285714,23.076923,8.380817,17.974341,6,9,1,0.17
S5_86,2,247.8779,56.809,0.010292,0.025,0.025316,0.054545,12,0.192864,0.360247,0.935,0.8754,28.333333,17.5,31.861442,15.811388,6,5,1,0.17
S5_86,3,247.8779,59.4673,0.007937,0.020522,0.04,0.052632,4,NA,0.347925,1.202,0.978727,12.5,26.875,25,20.238165,1,11,1,0.17
S5_86,4,247.8779,65.2646,0.006757,0.012346,0.028037,0.020833,4,NA,0.147561,0.833,0.738727,10,40,20,30.550505,1,11,1,0.17
S5_87,1,242.4523,58.9592,0.038462,0.085106,0.133333,0.25,3,NA,0.373069,1.405,1.01675,3.333333,9.882353,5.773503,2.955553,1,16,1,0.17
S5_87,2,242.4523,60.3818,0.069767,0.055556,0.5,0.1,7,0.230566,0.179869,0.9315,0.9085,11.142857,10.769231,5.145502,6.352871,6,10,1,0.17
S5_87,3,242.4523,58.1449,0.057377,0.028571,0.214286,0.090909,17,0.151792,NA,0.739286,0.952,12.705882,4,6.202466,6.928203,14,1,1,0.17
S5_87,4,242.4523,64.9664,0.06383,0.054726,0.25,0.125,7,0.128812,0.156663,0.759167,0.762091,12,13.384615,5.416026,6.185177,6,11,1,0.17
S5_88,1,197.8843,46.4311,0.012594,0.003958,0.037037,0.018933,6,0.193886,0.063214,1.0702,1.302,60.833333,12.428571,35.645009,25.948808,5,3,1,0.17
S5_88,2,197.8843,56.8733,0.017271,0.00463,0.038462,0.032258,14,0.263839,NA,1.1898,0.983,33.214286,10,24.62075,24.494897,10,1,1,0.17
S5_88,3,197.8843,51.7306,0.009346,0.021201,0.037736,0.054054,12,0.204224,0.094534,1.08725,0.921667,17.666667,30,27.033089,18.516402,4,6,1,0.17
S5_88,4,197.8843,42.8493,0.009009,0.018018,0.035433,0.030612,13,0.198362,0.220929,0.991,0.9715,14.307692,17.142857,22.462504,18.898224,4,4,1,0.17
S5_89,1,241.6454,58.0689,0.011096,0.02439,0.025496,0,17,0.94385,1.25695,1.830625,2.122667,21.176471,40,24.556657,16.370706,8,3,1,0.17
S5_89,2,241.6454,71.6346,0.018519,0.013483,0.045455,0.035461,9,0.318262,1.296433,1.22675,2.263167,44.666667,27.090909,20.124612,26.296215,8,6,1,0.17
S5_89,3,241.6454,56.1572,0.007491,0.019438,0.03268,0.051282,7,0.136472,0.404695,0.8495,1.037,16,28.923077,27.543904,20.8105,2,9,1,0.17
S5_89,4,241.6454,55.7847,0.008333,0.01978,0.036765,0.042553,7,0.880348,0.20365,1.1465,0.859444,14.571429,27.076923,24.892148,19.758802,2,9,1,0.17
S5_9,1,273.9252,68.9003,0.041667,0.017291,0,0.055046,2,0.736805,0.181365,2.525,0.998,23,31.833333,9.899495,31.203789,2,12,1,0.17
S5_9,2,273.9252,55.5009,0.025,0.044554,0.04878,0.06,8,0.098695,0.081328,0.765,0.730556,9.25,11.916667,10.593124,8.436483,4,9,1,0.17
S5_9,3,273.9252,75.9484,0.05,0.020896,0,0.027397,2,0.001414,0.127136,0.778,0.801857,19,28.333333,4.242641,17.901692,2,14,1,0.17
S5_9,4,273.9252,73.5756,0.009901,0.020958,0.02,0.036364,2,NA,0.078008,0.953,0.621143,25,30.222222,35.355339,18.232342,1,14,1,0.17
S5_90,1,262.2123,71.5939,0.052632,0.015021,0.090909,0.023256,10,0.968674,0.318074,1.989222,1.163429,15.1,33,9.746224,23.194827,9,7,1,0.17
S5_90,2,262.2123,67.2268,0.007692,0.016216,0.025641,0.03937,3,NA,0.193705,0.984,1.047,17,35.352941,29.444864,23.523768,1,12,1,0.17
