ID,order,TotalMLE,mle,pBurst_1,pExpl_1,sdAvgLastTime_1,avgLastTime_1
S2_424,2,125.0227,63.1097,0.014035,0.033898,1.124058,2.032167
S2_425,1,132.2843,63.2782,0.013841,0.035874,0.529439,1.465333
S2_425,2,132.2843,69.0061,0.019471,0.030303,0.176401,1.145357
S2_426,1,45.9275,26.527,0.013405,0.036496,0.858986,1.5554
S2_426,2,45.9275,19.4005,0.021053,0.056818,0.269829,0.88825
S2_427,1,135.3671,59.6125,0.037736,0.065789,0.294477,1.955571
S2_427,2,135.3671,75.7546,0.023599,0.059701,0.326527,1.584688
S2_428,1,74.4611,19.7786,0.003717,0.023022,0.502791,1.691
S2_428,2,74.4611,54.6825,0.018676,0.04712,0.546571,1.538636
S2_500,1,56.7833,26.2489,0.061947,0.073171,0.624856,1.879
S2_500,2,56.7833,30.5344,0.120482,0.181818,0.210885,1.219
S2_501,1,49.2591,49.2591,0.019531,0.036496,0.348521,1.7027
S2_502,1,114.4582,60.5165,0.017391,0.029963,1.227711,2.678917
S2_502,2,114.4582,53.9417,0.019964,0.054422,0.335384,1.498182
S2_503,1,45.8072,45.8072,0.016605,0.021277,0.232276,1.345444
S2_504,1,78.1846,37.295,0.005415,0.018767,10.336017,6.461
S2_504,2,78.1846,40.8896,0.007865,0.025243,0.574828,2.536857
S2_505,1,126.3611,55.412,0.037572,0.060241,0.620127,2.166923
S2_505,2,126.3611,70.9491,0.01697,0.02649,2.753706,2.820857
S2_506,1,101.8664,38.3415,0.037657,0.064516,0.330734,1.299222
S2_506,2,101.8664,63.5249,0.05,0.071429,0.471955,1.324563
S2_507a,1,119.8306,54.4923,0.018998,0.051852,0.470187,1.873909
S2_507a,2,119.8306,65.3383,0.017687,0.03211,0.259239,1.394
S2_507b,1,97.2524,48.842,0.165138,0.166667,0.843952,2.109444
S2_507b,2,97.2524,48.4104,0.191919,0.25,0.39901,1.627632
S2_509,1,103.546,48.8537,0.031519,0.035294,1.69102,2.453818
S2_509,2,103.546,54.6923,0.028103,0.040323,0.496013,2.183917
S2_510,1,67.8406,33.8576,0.061224,0.085714,1.122456,1.816778
S2_510,2,67.8406,33.983,0.060403,0,0.404248,1.574556
S2_511,1,124.8228,65.2488,0.017808,0.030043,0.297816,1.471615
S2_511,2,124.8228,59.574,0.037838,0.065789,0.239012,1.413857
S2_512,1,98.0251,51.4154,0.015773,0.044643,0.510134,1.4924
S2_512,2,98.0251,46.6097,0.025381,0.065217,0.259035,1.1336
S2_513,1,107.0741,60.106,0.017991,0.030457,2.301122,4.46675
S2_513,2,107.0741,46.9681,0.01461,0.038251,5.186355,4.495333
S2_514,1,76.1486,32.4233,0.026119,0.042017,0.425464,1.669571
S2_514,2,76.1486,43.7253,0.020882,0.020833,0.440897,1.742333
S2_515,1,134.5171,64.9521,0.025926,0.038462,0.579842,1.795857
S2_515,2,134.5171,69.565,0.018717,0.032468,0.455583,1.461214
S2_516,1,113.8803,67.4426,0.015064,0.028571,0.313033,1.235538
S2_516,2,113.8803,46.4377,0.015491,0.038217,0.207716,0.976333
S2_517,1,63.3818,37.426,0.012868,0.024896,0.761075,2.103571
S2_517,2,63.3818,25.9558,0.015015,0.037736,0.455644,1.3024
S2_518,1,64.1386,64.1386,0.012889,0.021448,0.532137,1.500083
S2_519,1,86.6646,53.2504,0.044218,0.038462,0.648771,1.851308
S2_519,2,86.6646,33.4142,0.091743,0.166667,1.022941,2.5101
S2_520,1,62.917,29.3712,0.020134,0.037736,0.278217,1.152833
S2_520,2,62.917,33.5458,0.022293,0.070588,0.55333,1.378143
S2_521,1,97.9838,41.8129,0.006897,0.026,0.353152,1.869857
S2_521,2,97.9838,56.1709,0.009833,0.020942,0.254872,1.8107
S2_522,1,104.3079,63.3818,0.038961,0.030769,1.457408,1.7978
S2_522,2,104.3079,40.9261,0.028391,0.042857,0.411862,1.172778
S2_523,1,118.5359,60.1038,0.036458,0.05,0.435261,1.645643
S2_523,2,118.5359,58.4321,0.013317,0.017065,0.251508,1.398091
S2_524,1,116.908,56.1866,0.047945,0.050505,0.976947,2.344357
S2_524,2,116.908,60.7214,0.034913,0.084507,4.453259,2.828929
S2_525,1,122.3171,57.4327,0.02243,0.04,0.280221,1.309167
S2_525,2,122.3171,64.8844,0.01831,0.031447,1.373687,1.832077
S2_526,1,105.4028,41.1609,0.015717,0.041667,0.990638,2.537
S2_526,2,105.4028,64.2419,0.01278,0.032389,0.83961,1.901
S2_600,1,118.1024,62.3186,0.067194,0.078947,1.626183,3.104412
S2_600,2,118.1024,55.7838,0.06383,0.079365,0.287352,1.798133
S2_601,1,116.8709,62.1268,0.016698,0.023873,0.372958,1.736692
S2_601,2,116.8709,54.7441,0.039514,0.079365,0.317261,1.522231
S2_602,1,96.1576,47.5522,0.013699,0.038462,0.34874,2.045222
S2_602,2,96.1576,48.6054,0.012195,0.033445,0.345495,1.825889
S2_603,1,128.8957,64.8531,0.04611,0.078431,1.109941,2.306687
S2_603,2,128.8957,64.0426,0.037313,0.056818,0.24562,1.771867
S2_604,1,109.5999,59.1584,0.012472,0.029605,0.311091,1.507
S2_604,2,109.5999,50.4415,0.009956,0.039855,0.570965,1.819
S2_605,1,137.6277,57.0978,0.033079,0.057377,0.428041,1.329308
S2_605,2,137.6277,80.5299,0.017563,0.030075,0.686607,2.147625
S2_606,1,66.4649,63.2141,0.050955,0.086957,0.622487,1.720813
S2_606,2,66.4649,3.2508,0.1,0,NA,3.015
S2_607,1,110.0507,50.4014,0.01,0.02657,0.676786,1.716889
S2_607,2,110.0507,59.6493,0.011931,0.027692,0.715659,2.214273
